profile_id,skill,aggression,skill_intermediate,skill_plate,skill_road_course,skill_short,skill_superspeedway,call_offset_hex,profile_id_const_index,skill_const_index,aggression_const_index,skill_intermediate_const_index,skill_plate_const_index,skill_road_course_const_index,skill_short_const_index,skill_superspeedway_const_index,profile_id_load_offset_hex,skill_load_offset_hex,aggression_load_offset_hex,skill_intermediate_load_offset_hex,skill_plate_load_offset_hex,skill_road_course_load_offset_hex,skill_short_load_offset_hex,skill_superspeedway_load_offset_hex
3241,1.0,0.6,1.0,1.0,0.85,0.98,1.0,0xAB6,239,175,185,175,175,228,236,175,0xA9E,0xAA1,0xAA4,0xAA7,0xAAA,0xAAD,0xAB0,0xAB3
3242,0.855,0.8,0.96,0.92,0.99,1.0,1.0,0xADA,240,241,229,235,224,230,175,175,0xAC2,0xAC5,0xAC8,0xACB,0xACE,0xAD1,0xAD4,0xAD7
3243,0.386,0.5,0.41,0.66,0.36,0.22,0.34,0xAFE,242,243,176,244,220,245,246,213,0xAE6,0xAE9,0xAEC,0xAEF,0xAF2,0xAF5,0xAF8,0xAFB
3244,0.718,0.7,0.86,0.9,0.56,0.79,0.75,0xB22,247,248,189,249,193,250,251,252,0xB0A,0xB0D,0xB10,0xB13,0xB16,0xB19,0xB1C,0xB1F
3245,0.972,0.6,0.95,0.97,0.95,0.98,0.95,0xB46,253,254,185,219,255,219,236,219,0xB2E,0xB31,0xB34,0xB37,0xB3A,0xB3D,0xB40,0xB43
3246,0.882,0.8,0.9,0.94,0.78,0.97,0.93,0xB6A,256,257,229,193,195,226,255,258,0xB52,0xB55,0xB58,0xB5B,0xB5E,0xB61,0xB64,0xB67
3247,0.627,0.5,0.7,0.96,0.61,0.67,0.77,0xB8E,259,260,176,189,235,261,200,262,0xB76,0xB79,0xB7C,0xB7F,0xB82,0xB85,0xB88,0xB8B
3248,0.881,0.7,0.92,0.98,0.95,0.9,0.94,0xBB2,263,264,189,224,236,219,193,195,0xB9A,0xB9D,0xBA0,0xBA3,0xBA6,0xBA9,0xBAC,0xBAF
3249,0.208,0.4,0.13,0.33,0.13,0.2,0.22,0xBD6,265,266,179,267,268,267,269,246,0xBBE,0xBC1,0xBC4,0xBC7,0xBCA,0xBCD,0xBD0,0xBD3
3250,0.204,0.3,1.0,1.0,1.0,1.0,1.0,0xBFA,270,271,272,175,175,175,175,175,0xBE2,0xBE5,0xBE8,0xBEB,0xBEE,0xBF1,0xBF4,0xBF7
3251,0.079,0.4,0.01,0.05,0.05,0.04,0.08,0xC1E,273,274,179,275,276,276,277,278,0xC06,0xC09,0xC0C,0xC0F,0xC12,0xC15,0xC18,0xC1B
3252,0.198,0.3,0.16,0.48,0.32,0.23,0.17,0xC42,279,280,272,215,281,282,283,284,0xC2A,0xC2D,0xC30,0xC33,0xC36,0xC39,0xC3C,0xC3F
3253,0.754,0.8,0.84,0.56,0.6,0.9,0.85,0xC66,285,286,229,199,250,185,193,228,0xC4E,0xC51,0xC54,0xC57,0xC5A,0xC5D,0xC60,0xC63
3254,0.836,0.9,0.6,0.82,0.98,0.71,0.78,0xC8A,287,288,193,185,289,236,180,226,0xC72,0xC75,0xC78,0xC7B,0xC7E,0xC81,0xC84,0xC87
3255,0.635,0.8,0.75,0.7,0.9,0.76,0.74,0xCAE,290,291,229,252,189,193,292,206,0xC96,0xC99,0xC9C,0xC9F,0xCA2,0xCA5,0xCA8,0xCAB
3256,0.528,0.9,0.85,0.85,1.0,0.72,0.84,0xCD2,293,294,193,228,228,175,295,199,0xCBA,0xCBD,0xCC0,0xCC3,0xCC6,0xCC9,0xCCC,0xCCF
3257,1.0,0.8,1.0,1.0,0.97,1.0,1.0,0xCF6,296,175,229,175,175,255,175,175,0xCDE,0xCE1,0xCE4,0xCE7,0xCEA,0xCED,0xCF0,0xCF3
3258,0.056,0.3,0.04,0.1,0.07,0.08,0.07,0xD1A,297,298,272,277,212,299,278,299,0xD02,0xD05,0xD08,0xD0B,0xD0E,0xD11,0xD14,0xD17
3259,0.873,0.5,0.94,0.92,0.85,0.9,0.95,0xD3E,300,301,176,195,224,228,193,219,0xD26,0xD29,0xD2C,0xD2F,0xD32,0xD35,0xD38,0xD3B
3260,0.058,0.3,0.11,0.29,0.14,0.21,0.14,0xD62,302,303,272,304,305,306,307,306,0xD4A,0xD4D,0xD50,0xD53,0xD56,0xD59,0xD5C,0xD5F
3262,0.353,0.5,0.46,0.76,0.3,0.51,0.5,0xD86,308,309,176,310,292,272,208,176,0xD6E,0xD71,0xD74,0xD77,0xD7A,0xD7D,0xD80,0xD83
3263,0.391,0.8,0.29,0.63,0.26,0.18,0.33,0xDAA,311,312,229,305,190,313,314,268,0xD92,0xD95,0xD98,0xD9B,0xD9E,0xDA1,0xDA4,0xDA7
3264,0.07,0.3,0.02,0.12,0.0,0.03,0.07,0xDCE,315,299,272,316,216,317,318,299,0xDB6,0xDB9,0xDBC,0xDBF,0xDC2,0xDC5,0xDC8,0xDCB
3265,0.837,0.6,0.99,1.0,0.73,0.92,1.0,0xDF2,319,320,185,230,175,321,224,175,0xDDA,0xDDD,0xDE0,0xDE3,0xDE6,0xDE9,0xDEC,0xDEF
3266,0.514,0.5,0.6,0.88,0.45,0.52,0.64,0xE16,322,323,176,185,221,324,325,214,0xDFE,0xE01,0xE04,0xE07,0xE0A,0xE0D,0xE10,0xE13
3267,0.738,0.8,0.93,1.0,0.74,0.93,0.92,0xE3A,326,327,229,258,175,206,258,224,0xE22,0xE25,0xE28,0xE2B,0xE2E,0xE31,0xE34,0xE37
3354,0.024,0.0,1.0,1.0,1.0,1.0,1.0,0xE5E,328,329,317,175,175,175,175,175,0xE46,0xE49,0xE4C,0xE4F,0xE52,0xE55,0xE58,0xE5B
3355,0.7,0.7,0.58,0.77,0.35,0.45,0.55,0xE82,330,189,189,331,262,332,324,209,0xE6A,0xE6D,0xE70,0xE73,0xE76,0xE79,0xE7C,0xE7F
3356,0.114,0.4,0.17,0.57,0.26,0.15,0.24,0xEA6,333,334,179,284,205,313,335,336,0xE8E,0xE91,0xE94,0xE97,0xE9A,0xE9D,0xEA0,0xEA3
3357,0.546,0.0,1.0,1.0,1.0,1.0,1.0,0xECA,337,338,317,175,175,175,175,175,0xEB2,0xEB5,0xEB8,0xEBB,0xEBE,0xEC1,0xEC4,0xEC7
3358,0.312,0.4,0.28,0.3,0.16,0.14,0.39,0xEEE,339,340,179,341,272,215,306,201,0xED6,0xED9,0xEDC,0xEDF,0xEE2,0xEE5,0xEE8,0xEEB
3359,0.201,0.5,0.06,0.18,0.13,0.16,0.13,0xF12,342,343,176,344,314,267,215,267,0xEFA,0xEFD,0xF00,0xF03,0xF06,0xF09,0xF0C,0xF0F
3360,0.277,0.5,1.0,1.0,1.0,1.0,1.0,0xF36,345,346,176,175,175,175,175,175,0xF1E,0xF21,0xF24,0xF27,0xF2A,0xF2D,0xF30,0xF33
3361,0.221,0.3,1.0,1.0,1.0,1.0,1.0,0xF5A,347,348,272,175,175,175,175,175,0xF42,0xF45,0xF48,0xF4B,0xF4E,0xF51,0xF54,0xF57
3362,0.217,0.3,1.0,1.0,1.0,1.0,1.0,0xF7E,349,350,272,175,175,175,175,175,0xF66,0xF69,0xF6C,0xF6F,0xF72,0xF75,0xF78,0xF7B
3363,0.053,0.0,1.0,1.0,1.0,1.0,1.0,0xFA2,351,352,317,175,175,175,175,175,0xF8A,0xF8D,0xF90,0xF93,0xF96,0xF99,0xF9C,0xF9F
3364,0.392,0.0,1.0,1.0,1.0,1.0,1.0,0xFC6,353,178,317,175,175,175,175,175,0xFAE,0xFB1,0xFB4,0xFB7,0xFBA,0xFBD,0xFC0,0xFC3
3365,0.241,0.3,0.22,0.71,0.18,0.32,0.25,0xFEA,354,355,272,246,180,314,282,207,0xFD2,0xFD5,0xFD8,0xFDB,0xFDE,0xFE1,0xFE4,0xFE7
3366,0.074,0.0,1.0,1.0,1.0,1.0,1.0,0x100E,356,357,317,175,175,175,175,175,0xFF6,0xFF9,0xFFC,0xFFF,0x1002,0x1005,0x1008,0x100B
3367,0.227,0.0,1.0,1.0,1.0,1.0,1.0,0x1032,358,359,317,175,175,175,175,175,0x101A,0x101D,0x1020,0x1023,0x1026,0x1029,0x102C,0x102F
3368,0.053,0.3,1.0,1.0,1.0,1.0,1.0,0x1056,360,352,272,175,175,175,175,175,0x103E,0x1041,0x1044,0x1047,0x104A,0x104D,0x1050,0x1053
3369,0.208,0.0,1.0,1.0,1.0,1.0,1.0,0x107A,361,266,317,175,175,175,175,175,0x1062,0x1065,0x1068,0x106B,0x106E,0x1071,0x1074,0x1077
3370,0.35,0.33,0.31,0.31,0.25,0.31,0.31,0x109E,362,332,268,181,181,207,181,181,0x1086,0x1089,0x108C,0x108F,0x1092,0x1095,0x1098,0x109B
3371,0.034,0.0,1.0,1.0,1.0,1.0,1.0,0x10C2,363,364,317,175,175,175,175,175,0x10AA,0x10AD,0x10B0,0x10B3,0x10B6,0x10B9,0x10BC,0x10BF
3372,0.353,0.6,0.2,0.2,0.2,0.2,0.2,0x10E6,365,309,185,269,269,269,269,269,0x10CE,0x10D1,0x10D4,0x10D7,0x10DA,0x10DD,0x10E0,0x10E3
3373,0.055,0.0,1.0,1.0,1.0,1.0,1.0,0x110A,366,367,317,175,175,175,175,175,0x10F2,0x10F5,0x10F8,0x10FB,0x10FE,0x1101,0x1104,0x1107
3374,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0x112E,368,317,317,175,175,175,175,175,0x1116,0x1119,0x111C,0x111F,0x1122,0x1125,0x1128,0x112B
3375,0.4,0.28,0.33,0.33,0.28,0.3,0.4,0x1152,369,179,341,268,268,341,272,179,0x113A,0x113D,0x1140,0x1143,0x1146,0x1149,0x114C,0x114F
3376,0.184,0.0,1.0,1.0,1.0,1.0,1.0,0x1176,370,371,317,175,175,175,175,175,0x115E,0x1161,0x1164,0x1167,0x116A,0x116D,0x1170,0x1173
3377,0.237,0.4,1.0,1.0,1.0,1.0,1.0,0x119A,372,373,179,175,175,175,175,175,0x1182,0x1185,0x1188,0x118B,0x118E,0x1191,0x1194,0x1197
3378,0.305,0.5,1.0,1.0,1.0,1.0,1.0,0x11BE,374,375,176,175,175,175,175,175,0x11A6,0x11A9,0x11AC,0x11AF,0x11B2,0x11B5,0x11B8,0x11BB
3379,0.75,0.9,0.81,0.64,0.75,0.89,0.8,0x11E2,376,252,193,231,214,252,194,229,0x11CA,0x11CD,0x11D0,0x11D3,0x11D6,0x11D9,0x11DC,0x11DF
3380,0.655,0.0,1.0,1.0,1.0,1.0,1.0,0x1206,377,378,317,175,175,175,175,175,0x11EE,0x11F1,0x11F4,0x11F7,0x11FA,0x11FD,0x1200,0x1203
3381,0.315,0.0,1.0,1.0,1.0,1.0,1.0,0x122A,379,380,317,175,175,175,175,175,0x1212,0x1215,0x1218,0x121B,0x121E,0x1221,0x1224,0x1227
6920,0.003,0.3,1.0,1.0,1.0,1.0,1.0,0x124E,381,382,272,175,175,175,175,175,0x1236,0x1239,0x123C,0x123F,0x1242,0x1245,0x1248,0x124B
6921,0.643,0.3,0.65,0.9,0.37,0.4,0.65,0x1272,383,384,272,188,193,182,179,188,0x125A,0x125D,0x1260,0x1263,0x1266,0x1269,0x126C,0x126F
6922,0.147,0.8,0.25,0.91,0.35,0.21,0.25,0x1296,385,386,229,207,196,332,307,207,0x127E,0x1281,0x1284,0x1287,0x128A,0x128D,0x1290,0x1293
6923,0.003,0.3,0.2,0.2,0.2,0.2,0.2,0x12BA,387,382,272,269,269,269,269,269,0x12A2,0x12A5,0x12A8,0x12AB,0x12AE,0x12B1,0x12B4,0x12B7
12391,0.7,0.5,0.79,0.51,0.36,0.78,0.79,0x12DE,388,189,176,251,208,245,226,251,0x12C6,0x12C9,0x12CC,0x12CF,0x12D2,0x12D5,0x12D8,0x12DB
12392,0.5,0.5,0.05,0.07,0.0,0.0,0.07,0x1302,389,176,176,276,299,317,317,299,0x12EA,0x12ED,0x12F0,0x12F3,0x12F6,0x12F9,0x12FC,0x12FF
13107,0.8,0.5,0.7,0.75,0.9,0.9,0.75,0x1326,390,229,176,189,252,193,193,252,0x130E,0x1311,0x1314,0x1317,0x131A,0x131D,0x1320,0x1323
18354,0.7,0.8,0.67,0.9,0.55,0.7,0.7,0x134A,391,189,229,200,193,209,189,189,0x1332,0x1335,0x1338,0x133B,0x133E,0x1341,0x1344,0x1347
23214,0.7,0.8,0.67,0.9,0.55,0.7,0.7,0x136E,392,189,229,200,193,209,189,189,0x1356,0x1359,0x135C,0x135F,0x1362,0x1365,0x1368,0x136B
23215,0.7,0.8,0.67,0.9,0.55,0.7,0.7,0x1392,393,189,229,200,193,209,189,189,0x137A,0x137D,0x1380,0x1383,0x1386,0x1389,0x138C,0x138F
23216,0.198,0.3,0.16,0.48,0.32,0.23,0.17,0x13B6,394,280,272,215,281,282,283,284,0x139E,0x13A1,0x13A4,0x13A7,0x13AA,0x13AD,0x13B0,0x13B3
23217,0.058,0.3,0.11,0.29,0.14,0.21,0.14,0x13DA,395,303,272,304,305,306,307,306,0x13C2,0x13C5,0x13C8,0x13CB,0x13CE,0x13D1,0x13D4,0x13D7
23218,0.386,0.5,0.41,0.66,0.36,0.22,0.34,0x13FE,396,243,176,244,220,245,246,213,0x13E6,0x13E9,0x13EC,0x13EF,0x13F2,0x13F5,0x13F8,0x13FB
23219,0.07,0.3,0.02,0.12,0.0,0.03,0.07,0x1422,397,299,272,316,216,317,318,299,0x140A,0x140D,0x1410,0x1413,0x1416,0x1419,0x141C,0x141F
25461,0.28,0.3,0.26,0.26,0.26,0.26,0.26,0x1446,398,341,272,313,313,313,313,313,0x142E,0x1431,0x1434,0x1437,0x143A,0x143D,0x1440,0x1443
25462,0.35,0.78,0.35,0.35,0.25,0.35,0.25,0x146A,399,332,226,332,332,207,332,207,0x1452,0x1455,0x1458,0x145B,0x145E,0x1461,0x1464,0x1467
25463,0.45,0.35,0.5,0.4,0.4,0.3,0.4,0x148E,400,324,332,176,179,179,272,179,0x1476,0x1479,0x147C,0x147F,0x1482,0x1485,0x1488,0x148B
25464,0.3,0.3,0.28,0.4,0.25,0.25,0.28,0x14B2,401,272,272,341,179,207,207,341,0x149A,0x149D,0x14A0,0x14A3,0x14A6,0x14A9,0x14AC,0x14AF
25465,0.82,0.8,0.75,0.82,0.81,0.81,0.82,0x14D6,402,289,229,252,289,231,231,289,0x14BE,0x14C1,0x14C4,0x14C7,0x14CA,0x14CD,0x14D0,0x14D3
25467,0.4,0.4,0.3,0.7,0.4,0.5,0.7,0x14FA,403,179,179,272,189,179,176,189,0x14E2,0x14E5,0x14E8,0x14EB,0x14EE,0x14F1,0x14F4,0x14F7
25593,0.625,0.754,0.625,0.615,0.605,0.605,0.615,0x151E,404,405,286,405,406,407,407,406,0x1506,0x1509,0x150C,0x150F,0x1512,0x1515,0x1518,0x151B
