class,uid,assigned_type,assigned_key,call_offset,UID,EventType,EventNumber,PracticeSessionNumber,TrackOverride,TrackTempStart,TrackTempEnd,AltAdvertising,ForcedCautions
WEEKENDEVENT_c,8468,,8468,0xFA90,8468,"RACETYPE_c(1161, 1162)",1,1,"WORLDSCRIPT_c(1635, 1636, S_WORLD_RICHMOND, 14.0, 0.75, None, S_WORLD_LOC_RICHMOND, None, False, 25, 44, 97912, 127992851, [], 20.754, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_J_GORDON, S_HDRIVER_D_JARRET, False, 18.0, 23.0, 130.599, 109.047, 76, False, None, S_HDRIVER_R_PETTY, [], 23.435, 16.0, 30.0, 26.984, 22.952, 0.98, Richmond)",24.0,29.0,False,
WEEKENDEVENT_c,8469,,8469,0xFAB7,8469,"RACETYPE_c(1161, 1162)",2,2,"WORLDSCRIPT_c(1635, 1636, S_WORLD_RICHMOND, 14.0, 0.75, None, S_WORLD_LOC_RICHMOND, None, False, 25, 44, 97912, 127992851, [], 20.754, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_J_GORDON, S_HDRIVER_D_JARRET, False, 18.0, 23.0, 130.599, 109.047, 76, False, None, S_HDRIVER_R_PETTY, [], 23.435, 16.0, 30.0, 26.984, 22.952, 0.98, Richmond)",26.0,31.0,False,
WEEKENDEVENT_c,8470,,8470,0xFADE,8470,"RACETYPE_c(1163, 1164)",3,-1,"WORLDSCRIPT_c(1635, 1636, S_WORLD_RICHMOND, 14.0, 0.75, None, S_WORLD_LOC_RICHMOND, None, False, 25, 44, 97912, 127992851, [], 20.754, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_J_GORDON, S_HDRIVER_D_JARRET, False, 18.0, 23.0, 130.599, 109.047, 76, False, None, S_HDRIVER_R_PETTY, [], 23.435, 16.0, 30.0, 26.984, 22.952, 0.98, Richmond)",22.0,29.0,False,
WEEKENDEVENT_c,8471,,8471,0xFB05,8471,"RACETYPE_c(1165, 1166)",5,-1,None,28.0,23.0,False,
WEEKENDEVENT_c,8476,,8476,0xFB2C,8476,"RACETYPE_c(1161, 1162)",1,1,None,25.0,31.0,False,
WEEKENDEVENT_c,8477,,8477,0xFB53,8477,"RACETYPE_c(1161, 1162)",2,2,None,28.0,33.0,False,
WEEKENDEVENT_c,8478,,8478,0xFB7A,8478,"RACETYPE_c(1163, 1164)",3,-1,None,27.0,33.0,False,
WEEKENDEVENT_c,8479,,8479,0xFBA1,8479,"RACETYPE_c(1165, 1166)",4,-1,None,27.0,33.0,False,
WEEKENDEVENT_c,8480,,8480,0xFBC8,8480,"RACETYPE_c(1161, 1162)",1,1,"WORLDSCRIPT_c(1631, 1632, S_WORLD_DARLINGTON, 25.0, 1.366, None, S_WORLD_LOC_DARLINGTON, None, False, 9, 30, 68000, 127796243, [], 27.231, None, S_HDRIVER_D_PEARSON, S_HDRIVER_R_PETTY, S_DRIVER_K_BUSCH_01, S_DRIVER_M_KENSETH, False, 20.0, 23.0, 181.918, 141.383, 62, False, None, S_DRIVER_B_ELLIOT, [], 31.256, 19.0, 28.0, 35.178, 30.175, 0.99, Darlington)",24.0,30.0,False,
WEEKENDEVENT_c,8481,,8481,0xFBEF,8481,"RACETYPE_c(1161, 1162)",2,2,"WORLDSCRIPT_c(1631, 1632, S_WORLD_DARLINGTON, 25.0, 1.366, None, S_WORLD_LOC_DARLINGTON, None, False, 9, 30, 68000, 127796243, [], 27.231, None, S_HDRIVER_D_PEARSON, S_HDRIVER_R_PETTY, S_DRIVER_K_BUSCH_01, S_DRIVER_M_KENSETH, False, 20.0, 23.0, 181.918, 141.383, 62, False, None, S_DRIVER_B_ELLIOT, [], 31.256, 19.0, 28.0, 35.178, 30.175, 0.99, Darlington)",25.0,31.0,False,
WEEKENDEVENT_c,8482,,8482,0xFC16,8482,"RACETYPE_c(1163, 1164)",3,-1,"WORLDSCRIPT_c(1631, 1632, S_WORLD_DARLINGTON, 25.0, 1.366, None, S_WORLD_LOC_DARLINGTON, None, False, 9, 30, 68000, 127796243, [], 27.231, None, S_HDRIVER_D_PEARSON, S_HDRIVER_R_PETTY, S_DRIVER_K_BUSCH_01, S_DRIVER_M_KENSETH, False, 20.0, 23.0, 181.918, 141.383, 62, False, None, S_DRIVER_B_ELLIOT, [], 31.256, 19.0, 28.0, 35.178, 30.175, 0.99, Darlington)",24.0,30.0,False,
WEEKENDEVENT_c,8483,,8483,0xFC3D,8483,"RACETYPE_c(1165, 1166)",5,-1,None,31.0,24.0,True,
WEEKENDEVENT_c,8484,,8484,0xFC64,8484,"RACETYPE_c(1161, 1162)",1,1,"WORLDSCRIPT_c(1528, 1529, S_WORLD_CHARLOTTE, 24.0, 1.5, None, S_WORLD_LOC_CHARLOTTE, None, False, 6, 38, 146000, 128452115, [], 28.645, None, S_DRIVER_J_JOHNSON, S_TH_ALLISON_PETTY, S_DRIVER_D_HAMLIN, S_DRIVER_J_GORDON, False, 20.0, 25.0, 195.624, 160.306, 70, False, None, S_HDRIVER_R_PETTY, [], 32.987, 19.0, 30.0, 35.476, 30.354, 0.98, Lowes)",25.0,30.0,False,
WEEKENDEVENT_c,8485,,8485,0xFC8B,8485,"RACETYPE_c(1163, 1164)",2,-1,"WORLDSCRIPT_c(1528, 1529, S_WORLD_CHARLOTTE, 24.0, 1.5, None, S_WORLD_LOC_CHARLOTTE, None, False, 6, 38, 146000, 128452115, [], 28.645, None, S_DRIVER_J_JOHNSON, S_TH_ALLISON_PETTY, S_DRIVER_D_HAMLIN, S_DRIVER_J_GORDON, False, 20.0, 25.0, 195.624, 160.306, 70, False, None, S_HDRIVER_R_PETTY, [], 32.987, 19.0, 30.0, 35.476, 30.354, 0.98, Lowes)",22.0,28.0,False,
WEEKENDEVENT_c,8486,,8486,0xFCB2,8486,"RACETYPE_c(1161, 1162)",3,2,"WORLDSCRIPT_c(1528, 1529, S_WORLD_CHARLOTTE, 24.0, 1.5, None, S_WORLD_LOC_CHARLOTTE, None, False, 6, 38, 146000, 128452115, [], 28.645, None, S_DRIVER_J_JOHNSON, S_TH_ALLISON_PETTY, S_DRIVER_D_HAMLIN, S_DRIVER_J_GORDON, False, 20.0, 25.0, 195.624, 160.306, 70, False, None, S_HDRIVER_R_PETTY, [], 32.987, 19.0, 30.0, 35.476, 30.354, 0.98, Lowes)",20.0,24.0,False,
WEEKENDEVENT_c,8487,,8487,0xFCD9,8487,"RACETYPE_c(1161, 1162)",4,3,"WORLDSCRIPT_c(1528, 1529, S_WORLD_CHARLOTTE, 24.0, 1.5, None, S_WORLD_LOC_CHARLOTTE, None, False, 6, 38, 146000, 128452115, [], 28.645, None, S_DRIVER_J_JOHNSON, S_TH_ALLISON_PETTY, S_DRIVER_D_HAMLIN, S_DRIVER_J_GORDON, False, 20.0, 25.0, 195.624, 160.306, 70, False, None, S_HDRIVER_R_PETTY, [], 32.987, 19.0, 30.0, 35.476, 30.354, 0.98, Lowes)",26.0,31.0,False,
WEEKENDEVENT_c,8488,,8488,0xFD00,8488,"RACETYPE_c(1165, 1166)",6,-1,None,29.0,22.0,False,
WEEKENDEVENT_c,8489,,8489,0xFD27,8489,"RACETYPE_c(1161, 1162)",1,1,None,17.0,24.0,False,
WEEKENDEVENT_c,8490,,8490,0xFD4E,8490,"RACETYPE_c(1161, 1162)",2,2,None,19.0,28.0,False,
WEEKENDEVENT_c,8491,,8491,0xFD75,8491,"RACETYPE_c(1163, 1164)",3,-1,None,20.0,28.0,False,
WEEKENDEVENT_c,8492,,8492,0xFD9C,8492,"RACETYPE_c(1165, 1166)",4,-1,None,21.0,28.0,False,
WEEKENDEVENT_c,8493,,8493,0xFDC3,8493,"RACETYPE_c(1161, 1162)",1,1,None,21.0,28.0,False,
WEEKENDEVENT_c,8494,,8494,0xFDEA,8494,"RACETYPE_c(1161, 1162)",2,2,None,23.0,30.0,False,
WEEKENDEVENT_c,8495,,8495,0xFE11,8495,"RACETYPE_c(1163, 1164)",3,-1,None,21.0,27.0,False,
WEEKENDEVENT_c,8496,,8496,0xFE38,8496,"RACETYPE_c(1165, 1166)",4,-1,None,23.0,30.0,False,
WEEKENDEVENT_c,8497,,8497,0xFE5F,8497,"RACETYPE_c(1161, 1162)",1,1,None,24.0,28.0,False,
WEEKENDEVENT_c,8498,,8498,0xFE86,8498,"RACETYPE_c(1161, 1162)",2,2,None,24.0,28.0,False,
WEEKENDEVENT_c,8499,,8499,0xFEAD,8499,"RACETYPE_c(1163, 1164)",3,-1,None,26.0,31.0,False,
WEEKENDEVENT_c,8500,,8500,0xFED4,8500,"RACETYPE_c(1165, 1166)",4,-1,None,25.0,31.0,False,
WEEKENDEVENT_c,8501,,8501,0xFEFB,8501,"RACETYPE_c(1161, 1162)",1,1,None,27.0,34.0,False,
WEEKENDEVENT_c,8502,,8502,0xFF22,8502,"RACETYPE_c(1163, 1164)",2,-1,None,26.0,33.0,False,
WEEKENDEVENT_c,8503,,8503,0xFF49,8503,"RACETYPE_c(1161, 1162)",3,2,None,23.0,31.0,False,
WEEKENDEVENT_c,8504,,8504,0xFF70,8504,"RACETYPE_c(1161, 1162)",4,3,None,23.0,31.0,False,
WEEKENDEVENT_c,8505,,8505,0xFF97,8505,"RACETYPE_c(1165, 1166)",5,-1,None,25.0,34.0,False,
WEEKENDEVENT_c,8506,,8506,0xFFBE,8506,"RACETYPE_c(1161, 1162)",1,1,"WORLDSCRIPT_c(5417, 5418, S_WORLD_KENTUCKY, 14.0, 1.5, None, S_WORLD_LOC_KENTUCKY, None, False, 17, 49, 109190, 131794697, [], 29.154, None, S_DRIVER_B_KESELOWSKI, S_DRIVER_K_BUSCH_02, S_DRIVER_D_EARNHARDT_JR, S_DRIVER_B_KESELOWSKI, False, 26.0, 26.0, 183.636, 145.607, 80, False, None, S_TH_GORDON_KENSITH, [], 33.589, 19.0, 29.0, 37.143, 31.299, 0.98, Kentucky)",28.0,33.0,False,
WEEKENDEVENT_c,8507,,8507,0xFFE5,8507,"RACETYPE_c(1161, 1162)",2,2,"WORLDSCRIPT_c(5417, 5418, S_WORLD_KENTUCKY, 14.0, 1.5, None, S_WORLD_LOC_KENTUCKY, None, False, 17, 49, 109190, 131794697, [], 29.154, None, S_DRIVER_B_KESELOWSKI, S_DRIVER_K_BUSCH_02, S_DRIVER_D_EARNHARDT_JR, S_DRIVER_B_KESELOWSKI, False, 26.0, 26.0, 183.636, 145.607, 80, False, None, S_TH_GORDON_KENSITH, [], 33.589, 19.0, 29.0, 37.143, 31.299, 0.98, Kentucky)",26.0,31.0,False,
WEEKENDEVENT_c,8508,,8508,0x1000C,8508,"RACETYPE_c(1163, 1164)",3,-1,"WORLDSCRIPT_c(5417, 5418, S_WORLD_KENTUCKY, 14.0, 1.5, None, S_WORLD_LOC_KENTUCKY, None, False, 17, 49, 109190, 131794697, [], 29.154, None, S_DRIVER_B_KESELOWSKI, S_DRIVER_K_BUSCH_02, S_DRIVER_D_EARNHARDT_JR, S_DRIVER_B_KESELOWSKI, False, 26.0, 26.0, 183.636, 145.607, 80, False, None, S_TH_GORDON_KENSITH, [], 33.589, 19.0, 29.0, 37.143, 31.299, 0.98, Kentucky)",29.0,35.0,False,
WEEKENDEVENT_c,8509,,8509,0x10033,8509,"RACETYPE_c(1165, 1166)",5,-1,None,32.0,27.0,True,
WEEKENDEVENT_c,8510,,8510,0x1005A,8510,"RACETYPE_c(1161, 1162)",1,1,"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, False, 10, 31, 168000, 128385558, [], 47.567, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, 15.0, 22.0, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 52.435, 12.0, 27.0, 56.883, 49.463, 0.985, Daytona)",29.0,31.0,True,
WEEKENDEVENT_c,8511,,8511,0x10081,8511,"RACETYPE_c(1161, 1162)",2,2,"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, False, 10, 31, 168000, 128385558, [], 47.567, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, 15.0, 22.0, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 52.435, 12.0, 27.0, 56.883, 49.463, 0.985, Daytona)",31.0,29.0,True,
WEEKENDEVENT_c,8512,,8512,0x100A8,8512,"RACETYPE_c(1163, 1164)",3,-1,"WORLDSCRIPT_c(1180, 1181, S_WORLD_DAYTONA_BEACH, 31.0, 2.5, None, S_WORLD_LOC_DAYTONA_BEACH, None, False, 10, 31, 168000, 128385558, [], 47.567, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_B_ELLIOT, S_HDRIVER_B_BAKER, False, 15.0, 22.0, 210.364, 177.602, 63, False, None, S_HDRIVER_R_PETTY, [], 52.435, 12.0, 27.0, 56.883, 49.463, 0.985, Daytona)",31.0,30.0,True,
WEEKENDEVENT_c,8513,,8513,0x100CF,8513,"RACETYPE_c(1165, 1166)",5,-1,None,33.0,29.0,True,
WEEKENDEVENT_c,8514,,8514,0x100F6,8514,"RACETYPE_c(1161, 1162)",1,1,None,28.0,31.0,False,
WEEKENDEVENT_c,8515,,8515,0x1011D,8515,"RACETYPE_c(1163, 1164)",2,-1,None,31.0,30.0,False,
WEEKENDEVENT_c,8516,,8516,0x10144,8516,"RACETYPE_c(1161, 1162)",3,2,None,26.0,29.0,False,
WEEKENDEVENT_c,8517,,8517,0x1016B,8517,"RACETYPE_c(1161, 1162)",4,3,None,27.0,31.0,False,
WEEKENDEVENT_c,8518,,8518,0x10192,8518,"RACETYPE_c(1165, 1166)",5,-1,None,27.0,31.0,False,
WEEKENDEVENT_c,8610,,8610,0x101B9,8610,"RACETYPE_c(1161, 1162)",1,1,None,27.0,31.0,False,
WEEKENDEVENT_c,8611,,8611,0x101E0,8611,"RACETYPE_c(1161, 1162)",2,2,None,29.0,33.0,False,
WEEKENDEVENT_c,8612,,8612,0x10207,8612,"RACETYPE_c(1161, 1162)",3,3,None,29.0,33.0,False,
WEEKENDEVENT_c,8613,,8613,0x1022E,8613,"RACETYPE_c(1163, 1164)",4,-1,None,31.0,34.0,False,
WEEKENDEVENT_c,8614,,8614,0x10255,8614,"RACETYPE_c(1165, 1166)",5,-1,None,30.0,35.0,False,
WEEKENDEVENT_c,8615,,8615,0x1027C,8615,"RACETYPE_c(1161, 1162)",1,1,None,24.0,29.0,False,
WEEKENDEVENT_c,8616,,8616,0x102A3,8616,"RACETYPE_c(1161, 1162)",2,2,None,28.0,26.0,False,
WEEKENDEVENT_c,8617,,8617,0x102CA,8617,"RACETYPE_c(1163, 1164)",3,-1,None,26.0,28.0,False,
WEEKENDEVENT_c,8618,,8618,0x102F1,8618,"RACETYPE_c(1165, 1166)",4,-1,None,24.0,31.0,False,
WEEKENDEVENT_c,8619,,8619,0x10318,8619,"RACETYPE_c(1161, 1162)",1,1,None,28.0,31.0,True,
WEEKENDEVENT_c,8620,,8620,0x1033F,8620,"RACETYPE_c(1163, 1164)",2,-1,None,30.0,28.0,True,
WEEKENDEVENT_c,8621,,8621,0x10366,8621,"RACETYPE_c(1161, 1162)",3,2,None,24.0,28.0,True,
WEEKENDEVENT_c,8622,,8622,0x1038D,8622,"RACETYPE_c(1165, 1166)",4,-1,None,27.0,32.0,True,
WEEKENDEVENT_c,8683,,8683,0x103B4,8683,"RACETYPE_c(1161, 1162)",1,1,"WORLDSCRIPT_c(5348, 5349, S_WORLD_BRISTOL, 30.0, 0.533, None, S_WORLD_LOC_BRISTOL, None, False, 3, 55, 160000, 128517918, [], 14.645, None, S_HDRIVER_D_WALTRIP, S_HDRIVER_R_PETTY, S_DRIVER_K_BUSCH_02, S_HDRIVER_C_GLOTZBACH, False, 8.0, 22.0, 129.535, 101.074, 82, False, None, S_HDRIVER_R_PETTY, [], 17.895, 19.0, 32.0, 20.356, 16.145, 0.975, Bristol)",28.0,32.0,False,
WEEKENDEVENT_c,8684,,8684,0x103DB,8684,"RACETYPE_c(1161, 1162)",2,2,"WORLDSCRIPT_c(5348, 5349, S_WORLD_BRISTOL, 30.0, 0.533, None, S_WORLD_LOC_BRISTOL, None, False, 3, 55, 160000, 128517918, [], 14.645, None, S_HDRIVER_D_WALTRIP, S_HDRIVER_R_PETTY, S_DRIVER_K_BUSCH_02, S_HDRIVER_C_GLOTZBACH, False, 8.0, 22.0, 129.535, 101.074, 82, False, None, S_HDRIVER_R_PETTY, [], 17.895, 19.0, 32.0, 20.356, 16.145, 0.975, Bristol)",30.0,28.0,False,
WEEKENDEVENT_c,8685,,8685,0x10402,8685,"RACETYPE_c(1163, 1164)",3,-1,"WORLDSCRIPT_c(5348, 5349, S_WORLD_BRISTOL, 30.0, 0.533, None, S_WORLD_LOC_BRISTOL, None, False, 3, 55, 160000, 128517918, [], 14.645, None, S_HDRIVER_D_WALTRIP, S_HDRIVER_R_PETTY, S_DRIVER_K_BUSCH_02, S_HDRIVER_C_GLOTZBACH, False, 8.0, 22.0, 129.535, 101.074, 82, False, None, S_HDRIVER_R_PETTY, [], 17.895, 19.0, 32.0, 20.356, 16.145, 0.975, Bristol)",26.0,24.0,False,
WEEKENDEVENT_c,8686,,8686,0x10429,8686,"RACETYPE_c(1165, 1166)",5,-1,None,27.0,22.0,False,
WEEKENDEVENT_c,8722,,8722,0x10450,8722,"RACETYPE_c(1161, 1162)",1,1,"WORLDSCRIPT_c(5406, 5407, S_WORLD_ATLANTA, 24.0, 1.54, None, S_WORLD_LOC_ATLANTA, None, False, 33, 54, 124000, 128452383, [], 28.654, None, S_HDRIVER_D_EARNHARDT, S_HDRIVER_D_EARNHARDT, S_HDRIVER_G_BODINE, S_HDRIVER_D_EARNHARDT, False, 9.0, 23.0, 197.478, 163.633, 81, False, None, S_HDRIVER_R_PETTY, [], 31.85, 8.0, 26.0, 36.844, 30.598, 0.985, Atlanta)",27.0,30.0,False,
WEEKENDEVENT_c,8723,,8723,0x10477,8723,"RACETYPE_c(1161, 1162)",2,2,"WORLDSCRIPT_c(5406, 5407, S_WORLD_ATLANTA, 24.0, 1.54, None, S_WORLD_LOC_ATLANTA, None, False, 33, 54, 124000, 128452383, [], 28.654, None, S_HDRIVER_D_EARNHARDT, S_HDRIVER_D_EARNHARDT, S_HDRIVER_G_BODINE, S_HDRIVER_D_EARNHARDT, False, 9.0, 23.0, 197.478, 163.633, 81, False, None, S_HDRIVER_R_PETTY, [], 31.85, 8.0, 26.0, 36.844, 30.598, 0.985, Atlanta)",29.0,34.0,False,
WEEKENDEVENT_c,8724,,8724,0x1049E,8724,"RACETYPE_c(1163, 1164)",3,-1,"WORLDSCRIPT_c(5406, 5407, S_WORLD_ATLANTA, 24.0, 1.54, None, S_WORLD_LOC_ATLANTA, None, False, 33, 54, 124000, 128452383, [], 28.654, None, S_HDRIVER_D_EARNHARDT, S_HDRIVER_D_EARNHARDT, S_HDRIVER_G_BODINE, S_HDRIVER_D_EARNHARDT, False, 9.0, 23.0, 197.478, 163.633, 81, False, None, S_HDRIVER_R_PETTY, [], 31.85, 8.0, 26.0, 36.844, 30.598, 0.985, Atlanta)",25.0,29.0,False,
WEEKENDEVENT_c,8725,,8725,0x104C5,8725,"RACETYPE_c(1165, 1166)",5,-1,None,31.0,27.0,False,
WEEKENDEVENT_c,8727,,8727,0x104EC,8727,"RACETYPE_c(1161, 1162)",1,1,"WORLDSCRIPT_c(1635, 1636, S_WORLD_RICHMOND, 14.0, 0.75, None, S_WORLD_LOC_RICHMOND, None, False, 25, 44, 97912, 127992851, [], 20.754, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_J_GORDON, S_HDRIVER_D_JARRET, False, 18.0, 23.0, 130.599, 109.047, 76, False, None, S_HDRIVER_R_PETTY, [], 23.435, 16.0, 30.0, 26.984, 22.952, 0.98, Richmond)",28.0,34.0,True,
WEEKENDEVENT_c,8728,,8728,0x10513,8728,"RACETYPE_c(1161, 1162)",2,2,"WORLDSCRIPT_c(1635, 1636, S_WORLD_RICHMOND, 14.0, 0.75, None, S_WORLD_LOC_RICHMOND, None, False, 25, 44, 97912, 127992851, [], 20.754, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_J_GORDON, S_HDRIVER_D_JARRET, False, 18.0, 23.0, 130.599, 109.047, 76, False, None, S_HDRIVER_R_PETTY, [], 23.435, 16.0, 30.0, 26.984, 22.952, 0.98, Richmond)",30.0,31.0,True,
WEEKENDEVENT_c,8729,,8729,0x1053A,8729,"RACETYPE_c(1163, 1164)",3,-1,"WORLDSCRIPT_c(1635, 1636, S_WORLD_RICHMOND, 14.0, 0.75, None, S_WORLD_LOC_RICHMOND, None, False, 25, 44, 97912, 127992851, [], 20.754, None, S_HDRIVER_R_PETTY, S_HDRIVER_R_PETTY, S_DRIVER_J_GORDON, S_HDRIVER_D_JARRET, False, 18.0, 23.0, 130.599, 109.047, 76, False, None, S_HDRIVER_R_PETTY, [], 23.435, 16.0, 30.0, 26.984, 22.952, 0.98, Richmond)",28.0,27.0,True,
WEEKENDEVENT_c,8730,,8730,0x10561,8730,"RACETYPE_c(1165, 1166)",5,-1,None,31.0,26.0,True,
WEEKENDEVENT_c,8732,,8732,0x10588,8732,"RACETYPE_c(1161, 1162)",1,1,None,28.0,31.0,False,
WEEKENDEVENT_c,8733,,8733,0x105AF,8733,"RACETYPE_c(1163, 1164)",2,-1,None,30.0,28.0,False,
WEEKENDEVENT_c,8734,,8734,0x105D6,8734,"RACETYPE_c(1161, 1162)",3,2,None,24.0,27.0,False,
WEEKENDEVENT_c,8735,,8735,0x105FD,8735,"RACETYPE_c(1161, 1162)",4,3,None,27.0,30.0,False,
WEEKENDEVENT_c,8736,,8736,0x10624,8736,"RACETYPE_c(1165, 1166)",5,-1,None,27.0,32.0,False,
WEEKENDEVENT_c,9353,,9353,0x1064B,9353,"RACETYPE_c(1161, 1162)",1,1,None,24.0,30.0,False,
