class,uid,assigned_type,assigned_key,call_offset,UID,DRIVER,NUMBER,TEAM,Livery,Pin,InteriorConfig,DriverImages,Selectable,AIDriverProfile,Series,BaseArcName,LastWonSprintCup
DRIVERCONFIG_c,12599,,12599,0x17725,12599,"DRIVER_c(12609, S_DRIVER_TITLE, None, True, True, , 129106177, False, False)","DRIVERNUMBER_c(12606, W:\NAS3\Hud\2012\numbers\0_placeholder.tga, 0_TELEMETRYDRIVER)","RACETEAM_c(2405, S_TEAM_CUSTOM_FORD, None, )","LIVERIE_c(12604, TELEMETRYFORD, BaseColour_c(0, 0, 180), S_LIV_PRIMARY, None, False, False, None, None, False, None, False, 131858689, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(12421, 1, None, None)",DRIVERPORTRAIT_c(7483),False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)",TELEMETRYFORD,129106177
DRIVERCONFIG_c,12600,,12600,0x17758,12600,"DRIVER_c(12610, S_DRIVER_TITLE, None, True, True, , 129106177, False, False)","DRIVERNUMBER_c(12606, W:\NAS3\Hud\2012\numbers\0_placeholder.tga, 0_TELEMETRYDRIVER)","RACETEAM_c(2406, S_TEAM_CUSTOM_TOYOTA, None, )","LIVERIE_c(12605, TELEMETRYTOYOTA, BaseColour_c(0, 0, 180), S_LIV_PRIMARY, None, False, False, None, None, False, None, False, 131858689, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(12422, 1, None, None)",DRIVERPORTRAIT_c(7484),False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)",TELEMETRYTOYOTA,129106177
DRIVERCONFIG_c,15702,,15702,0x1778B,15702,None,None,None,None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)",None,None,False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(9670, S_SERIES_SPRINT_CUP, 9671, [], [], 2012, True, None)",CUSTOMGENERICF,129106177
DRIVERCONFIG_c,15783,,15783,0x177BE,15783,None,None,None,None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)",None,None,False,AIRACEDRIVERPROFILE_c(3228),"RACESERIES_c(22538, S_SERIES_SPRINT_CUP, 22539, [], [], 2014, False, None)",MISSSPRINTCUP,129106177
DRIVERCONFIG_c,18308,,18308,0x177F1,18308,"DRIVER_c(1084, S_DRIVER_A_ALMIROLA, None, False, True, aric_almirola, 129106177, False, False)","DRIVERNUMBER_c(9698, W:\NAS3\Hud\2012\numbers\43_Almirola.tga, 43_ARICALMIROLA)","RACETEAM_c(1325, S_TEAM_RPM_01, None, RPMotorsports)","LIVERIE_c(18794, DLC_LIV_43_ALMIROLA_2013, BaseColour_c(106, 181, 0), , None, False, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22337, 1, None, None)",DRIVERPORTRAIT_c(7417),False,AIRACEDRIVERPROFILE_c(3355),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_ALMIROLA,129106177
DRIVERCONFIG_c,18309,,18309,0x17824,18309,"DRIVER_c(1096, S_DRIVER_K_BUSCH_02, None, False, True, kylebusch, 131793153, True, True)","DRIVERNUMBER_c(9684, W:\NAS3\Hud\2012\numbers\18_Busch.tga, 18_KYLEBUSCH)","RACETEAM_c(1335, S_TEAM_JGR, None, joegibbsracing)","LIVERIE_c(18778, DLC_LIV_18_BUSCH_2013, BaseColour_c(106, 181, 0), , None, False, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22329, 1, None, None)",DRIVERPORTRAIT_c(7391),False,AIRACEDRIVERPROFILE_c(3242),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_BUSCHKYLE,129106177
DRIVERCONFIG_c,18310,,18310,0x17857,18310,"DRIVER_c(1415, S_DRIVER_S_SPEED, None, False, True, scottspeed, 129106177, False, False)","DRIVERNUMBER_c(9686, W:\NAS3\Hud\2012\numbers\95_Speed.tga, 95_SCOTTSPEED)","RACETEAM_c(8739, S_TEAM_LFR, None, LeavineFamily95)","LIVERIE_c(18808, DLC_LIV_95_SPEED_2013, BaseColour_c(106, 181, 0), , None, True, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22330, 1, None, None)",DRIVERPORTRAIT_c(8992),False,AIRACEDRIVERPROFILE_c(3263),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_SPEED,129106177
DRIVERCONFIG_c,18311,,18311,0x1788A,18311,"DRIVER_c(7175, S_DRIVER_R_STENHOUSE_JR, None, False, True, stenhousejr, 129106177, True, False)","DRIVERNUMBER_c(21869, W:\NAS3\Hud\2012\numbers\17_Stenhouse_jr.tga, 17_STENHOUSEJR)","RACETEAM_c(1331, S_TEAM_RFR, None, roushfenway)","LIVERIE_c(21943, DLC_LIV_17_STENHOUSE_JR_2013, BaseColour_c(106, 181, 0), , None, False, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22337, 1, None, None)",DRIVERPORTRAIT_c(21856),False,AIRACEDRIVERPROFILE_c(12391),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_STENHOUSE,129106177
DRIVERCONFIG_c,18312,,18312,0x178BD,18312,"DRIVER_c(1126, S_DRIVER_J_NEMECHEK, None, False, True, FrontRowJoe87, 129106177, False, False)","DRIVERNUMBER_c(9690, W:\NAS3\Hud\2012\numbers\87_Nemechek.tga, 87_JOENEMECHEK)","RACETEAM_c(1350, S_TEAM_NM, None, )","LIVERIE_c(18805, DLC_LIV_87_NEMECHEK_2013, BaseColour_c(106, 181, 0), , None, True, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22321, 1, None, None)",DRIVERPORTRAIT_c(14614),False,AIRACEDRIVERPROFILE_c(3264),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_NEMECHEK,129106177
DRIVERCONFIG_c,18313,,18313,0x178F0,18313,"DRIVER_c(9666, S_DRIVER_L_CASSILL, None, False, True, landoncassill, 129106177, False, False)","DRIVERNUMBER_c(11440, W:\NAS3\Hud\2012\numbers\83_Cassill.tga, 83_CASSILL)","RACETEAM_c(10518, S_TEAM_BKRACING, None, BKRacing8393)","LIVERIE_c(22872, CAREER_TOYOTA_13, BaseColour_c(235, 235, 235), S_LIV_PRIMARY, None, False, False, None, None, False, None, False, 131924504, , 13)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22324, 1, None, None)",DRIVERPORTRAIT_c(12595),False,AIRACEDRIVERPROFILE_c(3356),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_CASSILL,129106177
DRIVERCONFIG_c,18314,,18314,0x17923,18314,"DRIVER_c(1092, S_DRIVER_C_BOWYER, None, False, True, ClintBowyer, 131727617, False, False)","DRIVERNUMBER_c(9689, W:\NAS3\Hud\2012\numbers\15_Bowyer.tga, 15_CLINTBOWYER)","RACETEAM_c(1354, S_TEAM_MWR, None, MWRteam)","LIVERIE_c(18775, DLC_LIV_15_BOWYER_2013, BaseColour_c(106, 181, 0), , None, False, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22330, 1, None, None)",DRIVERPORTRAIT_c(7412),False,AIRACEDRIVERPROFILE_c(3248),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_BOWYER,129106177
DRIVERCONFIG_c,18315,,18315,0x17956,18315,"DRIVER_c(1115, S_DRIVER_B_KESELOWSKI, None, False, True, keselowski, 131793153, True, False)","DRIVERNUMBER_c(9691, W:\NAS3\Hud\2012\numbers\2_Keselowski.tga, 2_BRADKESELOWSKI)","RACETEAM_c(1336, S_TEAM_PR_01, None, penskeracing)","LIVERIE_c(18769, DLC_LIV_02_KESELOWSKI_2013, BaseColour_c(106, 181, 0), , None, False, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22331, 1, None, None)",DRIVERPORTRAIT_c(7415),False,AIRACEDRIVERPROFILE_c(3237),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_KESELOWSKI,129106177
DRIVERCONFIG_c,18316,,18316,0x17989,18316,"DRIVER_c(1134, S_DRIVER_R_SMITH, None, False, True, ReganSmith, 131793153, False, False)","DRIVERNUMBER_c(21868, W:\NAS3\Hud\2012\numbers\51_Smith.tga, 51_REGANSMITH)","RACETEAM_c(10516, S_TEAM_PHOENIXRACING, None, phoenixracing51)","LIVERIE_c(21946, DLC_LIV_51_SMITH_2013, BaseColour_c(106, 181, 0), , None, True, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22321, 1, None, None)",DRIVERPORTRAIT_c(21855),False,AIRACEDRIVERPROFILE_c(3262),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_SMITHREGAN,129106177
DRIVERCONFIG_c,18317,,18317,0x179BC,18317,"DRIVER_c(1116, S_DRIVER_B_LABONTE, None, False, True, Bobby_Labonte, 129106177, False, False)","DRIVERNUMBER_c(9685, W:\NAS3\Hud\2012\numbers\47_Labonte.tga, 47_BOBBYLABONTE)","RACETEAM_c(1326, S_TEAM_JTGDR, None, NASCAR47)","LIVERIE_c(18795, DLC_LIV_47_LABONTE_2013, BaseColour_c(106, 181, 0), , None, True, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22330, 1, None, None)",DRIVERPORTRAIT_c(7414),False,AIRACEDRIVERPROFILE_c(3375),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_LABONTEBOBBY,129106177
DRIVERCONFIG_c,18318,,18318,0x179EF,18318,"DRIVER_c(1101, S_DRIVER_C_EDWARDS, None, False, True, , 131793153, True, False)","DRIVERNUMBER_c(9701, W:\NAS3\Hud\2012\numbers\99_Edwards.tga, 99_CARLEDWARDS)","RACETEAM_c(1331, S_TEAM_RFR, None, roushfenway)","LIVERIE_c(18810, DLC_LIV_99_EDWARDS_2013, BaseColour_c(106, 181, 0), , None, False, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22337, 1, None, None)",DRIVERPORTRAIT_c(7411),False,AIRACEDRIVERPROFILE_c(3267),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_EDWARDS,129106177
DRIVERCONFIG_c,18319,,18319,0x17A22,18319,"DRIVER_c(1106, S_DRIVER_R_GORDON, None, False, True, RobbyGordon, 129106177, False, False)","DRIVERNUMBER_c(22350, W:\NAS3\Hud\2012\numbers\07_Gordon.tga, 07_GORDON)","RACETEAM_c(7486, S_TEAM_RGM, None, )","LIVERIE_c(18803, DLC_LIV_7_GORDON_2013, BaseColour_c(106, 181, 0), , None, True, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22324, 1, None, None)",DRIVERPORTRAIT_c(22351),False,AIRACEDRIVERPROFILE_c(3234),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_GORDONROBBY,129106177
DRIVERCONFIG_c,18320,,18320,0x17A55,18320,"DRIVER_c(1085, S_DRIVER_M_AMBROSE, None, False, True, MarcosAmbrose, 129106177, True, False)","DRIVERNUMBER_c(9699, W:\NAS3\Hud\2012\numbers\9_Ambrose.tga, 9_MARCOSAMBROSE)","RACETEAM_c(1325, S_TEAM_RPM_01, None, RPMotorsports)","LIVERIE_c(18811, DLC_LIV_9_AMBROSE_2013, BaseColour_c(106, 181, 0), , None, False, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22337, 1, None, None)",DRIVERPORTRAIT_c(7390),False,AIRACEDRIVERPROFILE_c(3256),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_AMBROSE,129106177
DRIVERCONFIG_c,18321,,18321,0x17A88,18321,"DRIVER_c(1091, S_DRIVER_D_BLANEY, None, False, True, BuckeyeBullet10, 129106177, False, False)","DRIVERNUMBER_c(22344, W:\NAS3\Hud\2012\numbers\7_blaney.tga, 7_BLANEY)","RACETEAM_c(1347, S_TEAM_TBR, None, TBR_Racing)","LIVERIE_c(18790, DLC_LIV_36_BLANEY_2013, BaseColour_c(106, 181, 0), , None, True, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22332, 1, None, None)",DRIVERPORTRAIT_c(22345),False,AIRACEDRIVERPROFILE_c(3260),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_BLANEY,129106177
DRIVERCONFIG_c,18322,,18322,0x17ABB,18322,"DRIVER_c(1121, S_DRIVER_J_MCMURRAY, None, False, True, JamieMcMurray, 131727617, True, False)","DRIVERNUMBER_c(9672, W:\NAS3\Hud\2012\numbers\1_McMurray.tga, 1_JAMIEMCMURRAY)","RACETEAM_c(1349, S_TEAM_EGR, None, EGRTeams)","LIVERIE_c(18779, DLC_LIV_1_MCMURRAY_2013, BaseColour_c(106, 181, 0), , None, False, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22326, 1, None, None)",DRIVERPORTRAIT_c(7397),False,AIRACEDRIVERPROFILE_c(3230),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_MCMURRAY,129106177
DRIVERCONFIG_c,18323,,18323,0x17AEE,18323,"DRIVER_c(1090, S_DRIVER_G_BIFFLE, None, False, True, gbiffle, 131727617, False, False)","DRIVERNUMBER_c(9702, W:\NAS3\Hud\2012\numbers\16_Biffle.tga, 16_GREGBIFFLE)","RACETEAM_c(1331, S_TEAM_RFR, None, roushfenway)","LIVERIE_c(18776, DLC_LIV_16_BIFFLE_2013, BaseColour_c(106, 181, 0), , None, False, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22337, 1, None, None)",DRIVERPORTRAIT_c(7403),False,AIRACEDRIVERPROFILE_c(3240),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_BIFFLE,129106177
DRIVERCONFIG_c,18324,,18324,0x17B21,18324,"DRIVER_c(1114, S_DRIVER_M_KENSETH, None, False, True, mattkenseth, 131793153, True, False)","DRIVERNUMBER_c(21849, W:\NAS3\Hud\2012\numbers\20_Kenseth.tga, 20_MATTKENSETH)","RACETEAM_c(1335, S_TEAM_JGR, None, joegibbsracing)","LIVERIE_c(21944, DLC_LIV_20_KENSETH_2013, BaseColour_c(106, 181, 0), , None, False, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22337, 1, None, None)",DRIVERPORTRAIT_c(21850),False,AIRACEDRIVERPROFILE_c(3241),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_KENSETH,131268865
DRIVERCONFIG_c,18325,,18325,0x17B54,18325,"DRIVER_c(1113, S_DRIVER_K_KAHNE, None, False, True, kaseykahne, 131793153, False, False)","DRIVERNUMBER_c(9679, W:\NAS3\Hud\2012\numbers\5_Kahne.tga, 5_KASEYKAHNE)","RACETEAM_c(1340, S_TEAM_HM, None, TeamHendrick)","LIVERIE_c(18800, DLC_LIV_5_KAHNE_2013, BaseColour_c(106, 181, 0), , None, False, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22320, 1, None, None)",DRIVERPORTRAIT_c(7393),False,AIRACEDRIVERPROFILE_c(3235),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_KAHNE,129106177
DRIVERCONFIG_c,18326,,18326,0x17B87,18326,"DRIVER_c(1119, S_DRIVER_M_MARTIN, None, False, True, 55MarkMartin, 131662081, True, True)","DRIVERNUMBER_c(9687, W:\NAS3\Hud\2012\numbers\55_Martin.tga, 55_MARKMARTIN)","RACETEAM_c(1354, S_TEAM_MWR, None, MWRteam)","LIVERIE_c(18798, DLC_LIV_55_MARTIN_2013, BaseColour_c(106, 181, 0), , None, True, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22330, 1, None, None)",DRIVERPORTRAIT_c(7388),False,AIRACEDRIVERPROFILE_c(3232),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_MARTIN,129106177
DRIVERCONFIG_c,18327,,18327,0x17BBA,18327,"DRIVER_c(1109, S_DRIVER_S_HORNISH_JR, None, False, True, SamHornish, 129106177, False, False)","DRIVERNUMBER_c(12592, W:\NAS3\Hud\2012\numbers\22_allmendinger.tga, 12_SAMHORNISHJR)","RACETEAM_c(1336, S_TEAM_PR_01, None, penskeracing)",None,"DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22339, 1, None, None)",DRIVERPORTRAIT_c(14747),False,AIRACEDRIVERPROFILE_c(13107),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_HORNISHJR,129106177
DRIVERCONFIG_c,18328,,18328,0x17BED,18328,"DRIVER_c(1105, S_DRIVER_J_GORDON, None, False, True, JeffGordonWeb, 131793153, True, True)","DRIVERNUMBER_c(9677, W:\NAS3\Hud\2012\numbers\24_Gordon.tga, 24_JEFFGORDON)","RACETEAM_c(1340, S_TEAM_HM, None, TeamHendrick)","LIVERIE_c(18782, DLC_LIV_24_GORDON_2013, BaseColour_c(106, 181, 0), , None, False, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22320, 1, None, None)",DRIVERPORTRAIT_c(7401),False,AIRACEDRIVERPROFILE_c(3245),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_GORDONJEFF,129106177
DRIVERCONFIG_c,18329,,18329,0x17C20,18329,"DRIVER_c(1400, S_DRIVER_M_MCDOWELL, None, False, True, Mc_Driver, 129106177, False, False)","DRIVERNUMBER_c(11443, W:\NAS3\Hud\2012\numbers\98_McDowell.tga, 98_MCDOWELL)","RACETEAM_c(11444, S_TEAM_PARSONS, None, PPR98)","LIVERIE_c(18809, DLC_LIV_98_MCDOWELL_2013, BaseColour_c(106, 181, 0), , None, True, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22324, 1, None, None)",DRIVERPORTRAIT_c(14746),False,AIRACEDRIVERPROFILE_c(3258),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_MCDOWELL,129106177
DRIVERCONFIG_c,18330,,18330,0x17C53,18330,"DRIVER_c(1104, S_DRIVER_D_GILLILAND, None, False, True, DavidGilliland, 129106177, False, False)","DRIVERNUMBER_c(9675, W:\NAS3\Hud\2012\numbers\38_Gilliland.tga, 38_DAVIDGILLILAND)","RACETEAM_c(1327, S_TEAM_FRM, None, FrontRowNASCAR)","LIVERIE_c(18791, DLC_LIV_38_GILLILAND_2013, BaseColour_c(106, 181, 0), , None, True, False, None, None, False, None, False, 131924504, , -1)","DRIVERPIN_c(1733, S_XG_COUNTRY_USA, USA)","DRIVERINTERIORCONFIG_c(22321, 1, None, None)",DRIVERPORTRAIT_c(7409),False,AIRACEDRIVERPROFILE_c(3252),"RACESERIES_c(18306, S_SERIES_SPRINT_CUP, 18307, [], [], 2013, False, None)",2013_GILLILAND,129106177
