class,uid,assigned_type,assigned_key,call_offset,UID,Name,NumBlocks,Sky,PhysicsOverride,TyreGripInner,TyreGripOuter,EngineHeatingScale,CareerPhysicsOverride
TRACK_c,1688,,1688,0xCFA3,1688,Atlanta,4,"SKY_c(2560, AtlantaDusk, AtlantaDusk, 3)",,1.02,1.07,1.15,Atlanta
TRACK_c,1758,,1758,0xCFCA,1758,Talladega,4,"SKY_c(2529, TalledegaMidday, TalledegaMidday, 0)",,1.0,1.0,0.6,
TRACK_c,1857,,1857,0xCFF1,1857,Bristol,4,"SKY_c(2669, BristolNight, BristolNight, 1)",,1.04,1.06,1.1,Bristol
TRACK_c,2437,,2437,0xD018,2437,Texas,4,"SKY_c(2714, Texas, Texas, 0)",,0.98,1.05,1.0,
TRACK_c,2521,,2521,0xD03F,2521,Kansas,4,"SKY_c(2824, KansasMidday, KansasMidday, 0)",,0.98,1.03,1.0,
TRACK_c,2525,,2525,0xD066,2525,Michigan,4,"SKY_c(2823, MichiganMidday, MichiganMidday, 0)",,1.02,1.05,1.0,
TRACK_c,2629,,2629,0xD08D,2629,NewHampshire,4,"SKY_c(3993, NewHampshireMidday, NewHampshireMidday, 0)",,1.0,1.02,1.35,
TRACK_c,2774,,2774,0xD0B4,2774,LasVegas,4,"SKY_c(4034, LasVegasMidday, LasVegasMidday, 0)",,0.92,1.0,1.0,
TRACK_c,5308,,5308,0xD0DB,5308,BristolDay,4,"SKY_c(5398, BristolMidday, BristolMidday, 0)",Bristol,1.03,1.05,1.1,
TRACK_c,5400,,5400,0xD102,5400,PhoenixDusk,4,"SKY_c(5401, PhoenixDusk, PhoenixDusk, 3)",Phoenix,1.0,1.0,1.25,
TRACK_c,5405,,5405,0xD129,5405,AtlantaDay,4,"SKY_c(2530, AtlantaMidday, AtlantaMidday, 0)",Atlanta,1.02,1.07,1.15,
TRACK_c,5411,,5411,0xD150,5411,DaytonaDusk,4,"SKY_c(5412, DaytonaDusk, DaytonaDusk, 3)",daytona,1.0,1.0,0.6,
TRACK_c,5416,,5416,0xD177,5416,KentuckyDusk,4,"SKY_c(5932, KentuckyDusk, KentuckyDusk, 3)",Kentucky,1.0,1.05,1.05,
TRACK_c,7493,,7493,0xD19E,7493,TeamShop,1,"SKY_c(1148, Garage, Garage, 0)",,1.0,1.0,1.0,
TRACK_c,9724,,9724,0xD1C5,9724,TexasDusk,4,"SKY_c(11427, TexasDusk, TexasDusk, 3)",Texas,0.99,1.06,1.0,
TRACK_c,11228,,11228,0xD1EC,11228,DarlingtonDusk,4,"SKY_c(1734, DarlingtonDusk, DarlingtonDusk, 3)",Darlington,0.99,1.02,0.95,
TRACK_c,11240,,11240,0xD213,11240,LowesDusk,4,"SKY_c(1735, LowesDusk, LowesDusk, 3)",Lowes,0.97,1.02,1.0,
TRACK_c,12288,,12288,0xD23A,12288,RichmondDusk,4,"SKY_c(1784, RichmondDusk, RichmondDusk, 3)",Richmond,0.96,0.99,1.35,
TRACK_c,12746,,12746,0xD261,12746,Kentucky,4,"SKY_c(12745, KentuckyMidday, KentuckyMidday, 0)",,1.0,1.05,1.05,
TRACK_c,22668,,22668,0xD288,22668,KansasDusk,4,"SKY_c(22667, KansasDusk, KansasDusk, 3)",Kansas,0.98,1.04,1.0,
TRACK_c,24537,,24537,0xD2AF,24537,DaytonaSprint,4,"SKY_c(2825, DaytonaMidday, DaytonaMidday, 0)",daytona,1.0,1.0,0.6,
TRACK_c,24538,,24538,0xD2D6,24538,DaytonaDuskSprint,4,"SKY_c(5412, DaytonaDusk, DaytonaDusk, 3)",daytona,1.0,1.0,0.6,
TRACK_c,24539,,24539,0xD2FD,24539,LowesDuskSprint,4,"SKY_c(1735, LowesDusk, LowesDusk, 3)",Lowes,0.97,1.02,1.0,
TRACK_c,24555,,24555,0xD324,24555,PhoenixSprint,4,"SKY_c(2531, PhoenixMidday, PhoenixMidday, 0)",Phoenix,0.98,1.0,1.25,
TRACK_c,24561,,24561,0xD34B,24561,BristolDaySprint,4,"SKY_c(5398, BristolMidday, BristolMidday, 0)",Bristol,1.03,1.05,1.1,
TRACK_c,24567,,24567,0xD372,24567,LasVegasSprint,4,"SKY_c(4034, LasVegasMidday, LasVegasMidday, 0)",LasVegas,0.92,1.0,1.0,
TRACK_c,24702,,24702,0xD399,24702,TalladegaSprint,4,"SKY_c(2529, TalledegaMidday, TalledegaMidday, 0)",Talladega,1.0,1.0,0.6,
TRACK_c,24720,,24720,0xD3C0,24720,LowesSprint,4,"SKY_c(1735, LowesDusk, LowesDusk, 3)",Lowes,0.97,1.02,1.0,
TRACK_c,24721,,24721,0xD3E7,24721,KansasSprint,4,"SKY_c(2824, KansasMidday, KansasMidday, 0)",Kansas,0.98,1.03,1.0,
TRACK_c,24722,,24722,0xD40E,24722,KansasDuskSprint,4,"SKY_c(22667, KansasDusk, KansasDusk, 3)",Kansas,0.98,1.04,1.0,
TRACK_c,24771,,24771,0xD435,24771,RichmondTouring,4,"SKY_c(9348, RichmondMidday, RichmondMidday, 0)",Richmond,0.95,0.98,1.35,
TRACK_c,24772,,24772,0xD45C,24772,RichmondDuskTouring,4,"SKY_c(1784, RichmondDusk, RichmondDusk, 3)",Richmond,0.96,0.99,1.35,
TRACK_c,24773,,24773,0xD483,24773,InfineonTouring,4,"SKY_c(2697, InfineonMidday, InfineonMidday, 0)",Infineon,1.0,1.0,1.0,
TRACK_c,24813,,24813,0xD4AA,24813,KentuckySprint,4,"SKY_c(12745, KentuckyMidday, KentuckyMidday, 0)",Kentucky,1.0,1.05,1.05,
TRACK_c,24814,,24814,0xD4D1,24814,KentuckyDuskSprint,4,"SKY_c(5932, KentuckyDusk, KentuckyDusk, 3)",Kentucky,1.0,1.05,1.05,
TRACK_c,24815,,24815,0xD4F8,24815,MichiganSprint,4,"SKY_c(2823, MichiganMidday, MichiganMidday, 0)",Michigan,1.02,1.05,1.0,
TRACK_c,24816,,24816,0xD51F,24816,InfineonSprint,4,"SKY_c(2697, InfineonMidday, InfineonMidday, 0)",Infineon,1.0,1.0,1.0,
TRACK_c,24870,,24870,0xD546,24870,IndianapolisSprint,4,"SKY_c(5997, IndianapolisMidday, IndianapolisMidday, 0)",Indianapolis,1.0,1.05,1.0,
TRACK_c,24871,,24871,0xD56D,24871,NewHampshireSprint,4,"SKY_c(3993, NewHampshireMidday, NewHampshireMidday, 0)",NewHampshire,1.0,1.02,1.35,
