class,uid,assigned_type,assigned_key,call_offset,UID,FormationOffsetDirection,TurnOneBearsLeft,UsePenaltySystem,BumpDraftingEnabled,BumpDraftingConsiderGearing,PABBMaxInflationZ,BumpDraftingMaxPackSize,BumpDraftingRoadStraightness,CatchupWantSpeedModifierEasy,CatchupWantSpeedModifierHard,UseDrivingControllerSmoothing,PacecarIgnorePitEntryTripwire,HasDoubleYellowLine,BumpdraftPlayerRoadStraightness,PitStrategy100PitChance,PitStrategy100FuelOnlyChance,PitStrategy100TwoTyresChance,PitStrategy100FourTyresChance,PitStrategy75PitChance,PitStrategy75FuelOnlyChance,PitStrategy75TwoTyresChance,PitStrategy75FourTyresChance,PitStrategy50PitChance,PitStrategy50FuelOnlyChance,PitStrategy50TwoTyresChance,PitStrategy50FourTyresChance,PitStrategy25PitChance,PitStrategy25FuelOnlyChance,PitStrategy25TwoTyresChance,PitStrategy25FourTyresChance,PitStrategy0FuelOnlyChance,PitStrategy0TwoTyresChance,PitStrategy0FourTyresChance,PitStrategy0PitChance,CanSwitchFromStagnantRacingLine,StayBehindRegionScaled,StateMachineWeightingOvertake,StateMachineWeightingBumpDraft,StayAlongsideGap,StayBehindRegion,ThrottleLiftToleranceDeg,CatchupPowModifier
AIRACINGTRACKCONFIG_c,6927,,6927,0x1D3D,6927,-1,True,False,True,True,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.74, 0.78)","CatchupWantSpeedModifierHard_c(0.94, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.05,0.15,0.65,0.2,0.4,0.05,0.45,0.5,0.9,0.0,0.15,0.85,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.25,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,6928,,6928,0x1E06,6928,-1,True,False,True,True,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.76, 0.78)","CatchupWantSpeedModifierHard_c(0.94, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.0,0.05,0.75,0.2,0.4,0.0,0.25,0.75,0.9,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,1.0,5,1,1.25,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,6934,,6934,0x1ECF,6934,-1,True,False,False,False,"PABBMaxInflationZ_c(5.0, 5.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.74, 0.77)","CatchupWantSpeedModifierHard_c(0.94, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.05,0.15,0.65,0.2,0.4,0.05,0.45,0.5,0.9,0.0,0.15,0.85,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,1.0,5,1,1.25,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,6935,,6935,0x1F98,6935,-1,True,False,False,False,"PABBMaxInflationZ_c(5.0, 5.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.73, 0.75)","CatchupWantSpeedModifierHard_c(0.94, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.0,0.05,0.85,0.1,0.4,0.05,0.6,0.35,0.8,0.0,0.3,0.7,1.0,0.0,0.05,0.95,0.0,0.0,1.0,1.0,False,0.5,5,1,1.2,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,9049,,9049,0x2061,9049,1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.75, 0.78)","CatchupWantSpeedModifierHard_c(0.935, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.0,0.05,0.65,0.3,0.4,0.0,0.25,0.75,0.9,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,10553,,10553,0x212A,10553,-1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.75, 0.78)","CatchupWantSpeedModifierHard_c(0.945, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.0,0.05,0.7,0.25,0.5,0.0,0.6,0.4,0.9,0.0,0.2,0.8,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,12394,,12394,0x21F3,12394,-1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.76, 0.78)","CatchupWantSpeedModifierHard_c(0.92, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.0,0.05,0.25,0.7,0.2,0.0,0.1,0.9,0.8,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,12395,,12395,0x22BC,12395,-1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.75, 0.77)","CatchupWantSpeedModifierHard_c(0.92, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.0,0.05,0.75,0.2,0.35,0.0,0.55,0.45,0.9,0.0,0.2,0.8,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.25,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,12396,,12396,0x2385,12396,-1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.76, 0.78)","CatchupWantSpeedModifierHard_c(0.93, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.0,0.05,0.75,0.2,0.35,0.0,0.25,0.75,0.9,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,12397,,12397,0x244E,12397,-1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.75, 0.77)","CatchupWantSpeedModifierHard_c(0.93, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.0,0.1,0.2,0.7,0.2,0.0,0.2,0.8,0.8,0.0,0.1,0.9,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,12398,,12398,0x2517,12398,1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.75, 0.78)","CatchupWantSpeedModifierHard_c(0.94, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.0,0.05,0.65,0.3,0.2,0.0,0.25,0.75,0.8,0.0,0.05,0.95,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,12399,,12399,0x25E0,12399,-1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.73, 0.76)","CatchupWantSpeedModifierHard_c(0.94, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.05,0.15,0.65,0.2,0.4,0.05,0.45,0.5,0.9,0.0,0.15,0.85,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.75,5,1,1.25,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,12401,,12401,0x26A9,12401,-1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",2,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.72, 0.76)","CatchupWantSpeedModifierHard_c(0.93, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.05,0.15,0.65,0.2,0.4,0.05,0.45,0.5,0.9,0.0,0.15,0.85,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.7,5,1,1.25,0.5,5.0,1.0
AIRACINGTRACKCONFIG_c,12402,,12402,0x2772,12402,-1,True,False,False,False,"PABBMaxInflationZ_c(1.0, 1.0)",4,"BumpDraftingRoadStraightness_c(0.99, 0.97)","CatchupWantSpeedModifierEasy_c(0.74, 0.78)","CatchupWantSpeedModifierHard_c(0.935, 1.0)",True,False,False,"BumpdraftPlayerRoadStraightness_c(0.99, 0.97)",0.05,0.15,0.15,0.2,0.4,0.05,0.45,0.5,0.9,0.0,0.15,0.85,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.5,5,1,1.0,0.5,5.0,1.0
