class,uid,assigned_type,assigned_key,call_offset,UID,NAME,MANUFACTURER,Twitter
RACETEAM_c,1350,,1350,0xD70B,1350,S_TEAM_NM,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",
RACETEAM_c,1351,,1351,0xD723,1351,S_TEAM_SHR,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",StewartHaasRcng
RACETEAM_c,1352,,1352,0xD73B,1352,S_TEAM_GR,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",GermainRacing
RACETEAM_c,1353,,1353,0xD753,1353,S_TEAM_MJM,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",
RACETEAM_c,1354,,1354,0xD76B,1354,S_TEAM_MWR,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",MWRteam
RACETEAM_c,1355,,1355,0xD783,1355,S_TEAM_FRR,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",FR78Racing
RACETEAM_c,1357,,1357,0xD79B,1357,S_TEAM_GM,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",
RACETEAM_c,1358,,1358,0xD7B3,1358,S_TEAM_MMM,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",
RACETEAM_c,2403,,2403,0xD7CB,2403,S_TEAM_CUSTOM_CHEVROLET,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",
RACETEAM_c,2404,,2404,0xD7E3,2404,S_TEAM_CUSTOM_DODGE,"MANUFACTURER_c(1074, S_MANU_DODGE, 1215, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgedodge.tga)",
RACETEAM_c,2405,,2405,0xD7FB,2405,S_TEAM_CUSTOM_FORD,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",
RACETEAM_c,2406,,2406,0xD813,2406,S_TEAM_CUSTOM_TOYOTA,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",
RACETEAM_c,2495,,2495,0xD82B,2495,S_DEFAULT_TEAM_NAME,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",
RACETEAM_c,5762,,5762,0xD843,5762,S_TEAM_JRM,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",JRMotorsports
RACETEAM_c,5763,,5763,0xD85B,5763,S_TEAM_BL,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",
RACETEAM_c,5780,,5780,0xD873,5780,S_TEAM_JJCR,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",
RACETEAM_c,7255,,7255,0xD88B,7255,S_TEAM_KEVIN_HARVIC,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",
RACETEAM_c,7486,,7486,0xD8A3,7486,S_TEAM_RGM,"MANUFACTURER_c(1074, S_MANU_DODGE, 1215, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgedodge.tga)",
RACETEAM_c,8739,,8739,0xD8BB,8739,S_TEAM_LFR,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",LeavineFamily95
RACETEAM_c,10516,,10516,0xD8D3,10516,S_TEAM_PHOENIXRACING,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",phoenixracing51
RACETEAM_c,10517,,10517,0xD8EB,10517,S_TEAM_JEFFWARDRACING,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",
RACETEAM_c,10518,,10518,0xD903,10518,S_TEAM_BKRACING,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",BKRacing8393
RACETEAM_c,11444,,11444,0xD91B,11444,S_TEAM_PARSONS,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",PPR98
RACETEAM_c,11446,,11446,0xD933,11446,S_TEAM_ROB_BLAK,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",
RACETEAM_c,12622,,12622,0xD94B,12622,S_TEAM_INCEPTION,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",InceptionRacing
RACETEAM_c,21845,,21845,0xD963,21845,S_TEAM_SWAN_RACING,"MANUFACTURER_c(1078, S_MANU_TOYOTA, 1214, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgetoyota.tga)",SwanRacingCo
RACETEAM_c,22932,,22932,0xD97B,22932,S_TEAM_HR,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",Hillman_Racing
RACETEAM_c,23035,,23035,0xD993,23035,S_TEAM_PHLLC,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",
RACETEAM_c,23220,,23220,0xD9AB,23220,S_TEAM_RFR,"MANUFACTURER_c(1015, S_MANU_FORD, 1216, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgeford.tga)",roushfenway
RACETEAM_c,24588,,24588,0xD9C3,24588,S_TEAM_XXXTREME,"MANUFACTURER_c(1076, S_MANU_CHEVROLET, 1213, W:\NAS3\Interface\DriverTeamSelect\images\imgcarbadgechevrolet.tga)",Xxxtremeracing
